Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
"How does traditional logistics typically differ from EC logistics?","EC logistics deals with the movement of large amounts of materials to a few destinations.","EC logistics is more predictable because demand is stable and consistent.","Traditional logistics deals with the movement of large amounts of materials to a few destinations.","Traditional logistic shipments typically are small parcels sent to many customers' homes.","Traditional logistics deals with the movement of large amounts of materials to a few destinations."
"The administrative activities of order taking and fulfillment involve each of the following except","sales quote.","order configuration.","settlement.","social engineering.","social engineering."
"The movement of returns from customers to vendors best defines","reverse logistics.","bullwhip logistics.","reverse release.","back flow logistics.","reverse logistics."
"A major activity related to the supply chain management problem in EC is the","distribution.","demand forecast.","third-party logistics.","order-taking process.","demand forecast."
"Factors influencing demand include","economic conditions.","weather conditions.","competition.","all of the above.","all of the above."
"Major management issues in supply chain management include each of the following except","social engineering.","inventory control.","distribution network configuration.","supply contracts.","social engineering."
"External, rather than in-house providers of logistics services best defines","outsourced development.","external sourcing.","third-party logistics suppliers.","external settlement.","third-party logistics suppliers."
"Uncertainties, lack of coordination, and an inability or refusal to share information among business partners create EC ________ problems.","product development","shipping and handling","infrastructure","supply chain fulfillment","supply chain fulfillment"
"Solutions to order fulfillment problems along supply chains include","warehousing and inventory management improvements.","improvements in the order-taking activity.","speeding deliveries.","all of the above.","all of the above."
"A software system that helps in managing warehouses best defines","reverse engineering system.","risk management system.","decision support system.","warehouse management system.","warehouse management system."
"Order taking can be done via","EDI, EDI/Internet, or the Internet.","EDI, EDI/Internet, the Internet, or an extranet.","the Internet or an extranet, and it may be fully automated.","EDI, EDI/Internet, the Internet, or an extranet, and it may be fully automated.","EDI, EDI/Internet, the Internet, or an extranet, and it may be fully automated."
"Implementing linkages between order-taking and payment systems can improve order fulfillment. Electronic payments can expedite both the order fulfillment cycle and the payment delivery period. With such systems","payment processing can be significantly less expensive, and fraud can be better controlled.","payment processing can be significantly less expensive, but fraud is less controlled.","payment processing costs remain the same, but fraud can be better controlled.","payment processing can be significantly more expensive, but fraud can be better controlled.","payment processing can be significantly less expensive, and fraud can be better controlled."
"Benefits of warehouse management systems include each of the following except","reducing inventory.","managing receiving.","decreasing the incidence of out-of-stocks.","increasing the bullwhip effect.","increasing the bullwhip effect."
"Automated warehouses include each of the following except","mass customization.","robots.","devices that expedite product pickup.","RFID and wireless technologies.","mass customization."
"Which of the following was used by Shurman Fine Papers to improve its demand forecast and minimize both out-of-stocks and overstocking?","TrueShip","RedPrairie","IntelliTrack","SQL Server","RedPrairie"
"Keys to successful inventory management include","superior management.","employee satisfaction.","low cost.","efficiency.","efficiency."
"An effective way to solve order fulfillment problems is for an organization to","build more local warehouses.","partner with other companies, such as UPS, or distribution centers.","reduce the variety or types of products being sold.","use AutoCart.","partner with other companies, such as UPS, or distribution centers."
"Intermediaries that prepare goods for shipping best describes","fulfillers.","vendors.","collaborators.","forwarders.","forwarders."
"The pioneering approach by ________ was to produce the components of computers via mass production and to offer customization in the manner in which they were assembled.","Gateway","Intel","IBM","Dell","Dell"
"The Boston Consulting Group found that the ________ was the number-two reason shoppers cited for refusing to buy on the Web frequently.","absence of a good return mechanism","lack of security","delay in receiving products","inability to compare products","absence of a good return mechanism"
"Each of the following is characteristic of order fulfillment except","flexible systems are needed because customers might change an order after the order is sent to the warehouse.","B2B order fulfillment commonly uses business processes management (BPM) software to automate various steps in the process.","customers pressure suppliers to improve the order fulfillment process.","B2C fulfillment may be more complex than that of B2B.","B2C fulfillment may be more complex than that of B2B."
"According to Supplychainer.com (2006), the seven elements for optimal order fulfillment include each of the following except","incorporate sales and marketing into the process.","integrate your systems.","utilize social engineering sites as much as possible.","reduce or eliminate paperwork.","utilize social engineering sites as much as possible."
"The knowledge about where materials and parts are at any given time, which helps in solving problems such as delay, combining shipments, and more best defines","product placement.","verification.","risk avoidance.","visibility.","visibility."
"Merge-in-transit and rolling warehouses are examples of","business process management.","B2C fulfillment.","order fulfillment in services.","logistics postponement.","logistics postponement."
"A logistics model in which components for a product may come from two or more different physical locations and are shipped directly to the customer's location best defines","B2C fulfillment.","merge-in-transit.","rolling warehousing.","business process management.","merge-in-transit."
"A logistics method in which products on the delivery truck are not preassigned to a destination, but the decision about the quantity to unload at each destination is made at the time of unloading best describes","bullwhip effect.","merge-in-transit.","rolling warehouse.","reverse logistics system.","rolling warehouse."
"Using Web services, Dell schedules every line in every factory around the world every ________, and only brings ________ worth of materials into the factory.","day; 1 day's","week; 1 week's","12 hours; 12 hours'","2 hours; 2 hours'","2 hours; 2 hours'"
"According to Melnyk, et al. 2010, supply chains of tomorrow must deliver varying degrees of","innovation.","safety and security of goods delivered.","eliminating waste, reducing pollution, and improving the environment.","all of the above.","all of the above."
"Tags that can be attached to or embedded in objects, animals, or humans and use radio waves to communicate with a reader for the purpose of uniquely identifying the object or transmitting data and/or storing information about the object best defines","wireless router.","location chips.","goods locator chip.","radio frequency identification.","radio frequency identification."
"Project in which suppliers and retailers collaborate in their planning and demand forecasting to optimize flow of materials along the supply chain best describes","customer relationship management.","transaction management systems.","directory services.","collaborate planning, forecasting, and replenishment.","collaborate planning, forecasting, and replenishment."
"Consulting firm categories include","traditional consulting companies that maintain divisions that focus on EC.","firms that provide expertise in the area of EC but not in traditional business.","EC hardware and software vendors that provide technology-consulting services.","all of the above.","all of the above."
"Which of the following is a large business directory organized by location and by product or service?","ThomasNet","A2Z of B2B","Websters","i-Stores","Websters"
"Which of the following B2B services creates revenue by providing content?","transaction brokers","content providers","specialized directories","marketplace concentrators","content providers"
"Which of the following matches business clients with firms that provide a wide variety of IT services?","TechRepublic","Lotus Domino","VeriSign","Bizrate","TechRepublic"
"Which of the following aggregates information about products and services from multiple providers at one central point?","marketplace concentrator","collaborators","content provider","transaction broker","marketplace concentrator"
"An agent or vendor who assembles the functions needed by enterprises and packages them with outsourced development, operation, maintenance, and other services best describes","transaction broker.","application service provider.","forwarder.","collaborator.","application service provider."
"Long-term business planning starts with a clear understanding of the factors that create significant value and that work together with other factors to drive future revenue and profit at or above their current rates. These factors are ________.","Balanced values","Business objectives","IT strategy","Value drivers","Value drivers"
"Which of the following statements about business value drivers is false?","Drivers have a long or unlimited life span.","IT strategy focuses on the value drivers in core process areas in order to make targeted improvements.","Cost is almost always a value driver, but for this factor to be useful, you need to drill down to the activities that impact cost.","Drivers are considered in the strategic planning process and the balanced scorecard methodology.","Drivers have a long or unlimited life span."
"Resource allocation is a contentious process in most organizations because opportunities and requests for spending far exceed the available funds. This can lead to __________ among organizational units, which makes it __________ to objectively identify the best investments.","Highly political competition; difficult","Highly political competition; easier","Cooperation; simple","Cooperation; difficult","Highly political competition; difficult"
"Few companies today could realize their full-potential business value without updated ________.","IT investments made on the basis of immediate needs or threats.","IT infrastructures and services.","IT investments that are patches.","Reactive approaches to IT investments.","IT infrastructures and services."
"Which of the following is not one of the objectives of IT strategic plans?","Improve management’s understanding of IT opportunities and limitations.","Clarify the level of investment required","Assess past performance","Identify capacity and human resource requirements","Assess past performance"
"IT deployment strategies fall into two broad categories, which are ________:","In-house development and sourcing","Offshoring and onshoring","Cloud computing and SaaS","Acquisition and development","In-house development and sourcing"
"Outsource relationship management companies monitor and manage sourcing arrangements and ________.","R&D","IT projects","service level agreements","SaaS","service level agreements"
"Why is it necessary to develop a long-term IT strategy and reexamine the strategy on a regular basis?","Systems need to be maintained","To keep the CIO part of the executive team","Organizational goals change over time","To automate business processes","Organizational goals change over time"
"Cloud computing and SaaS are two __________ options.","In-house development","Offshoring","Sourcing","BYOD","Sourcing"
"The effectiveness of the IT function relies heavily on each of the following except ________.","Relationships with vendors","Implementing the latest social networks","Relationships with third-party suppliers","IT governance","Implementing the latest social networks"
"A(n) ________ needs to be in place that crosses organizational lines and makes senior management responsible for the success of key IT initiatives.","Enterprise strategy","SWOT analysis","SLA","Governance structure","Governance structure"
"Which of the following is not one of the major tasks of IT steering committees?","Enforce SLAs and other contracts","Allocate scarce resources","Set and evaluate performance metrics","Make staffing decisions","Enforce SLAs and other contracts"
"The __________ process is designed to provide answers to the following types of questions: What is the long-term direction of our business? What is the overall plan for deploying our resources? How do we achieve competitive advantage over rivals in order to achieve or maximize profitability?","Enterprise resource planning","Profit margin analysis","Strategic planning","Market research","Strategic planning"
"SWOT Analysis involves analyzing a company’s competitive situation on each of the following factors except:","Strengths","Weakness","Opportunities","Technology","Technology"
"Price wars or other fierce reactions by competitors are examples of:","Strengths","Weaknesses","Opportunities","Threats","Threats"
"Activities that can improve the IT–business alignment include all of the following except ________.","Senior management is committed to IT planning.","CIO is a member of senior management.","CIO understands business planning and CEO understands company's IT planning.","None are activities that can improve the IT-business alignment","None are activities that can improve the IT-business alignment"
"Skills of CIOs needed to improve IT–business alignment and governance include all of the following except ________.","Negotiating SaaS or other cloud service contracts.","Having political savvy.","Inspiring a shared vision and influencing subordinates and superiors.","Thinking strategically and making good decisions under pressure","Negotiating SaaS or other cloud service contracts."
"According to the business strategy model developed by Harvard University Business professor Michael Porter’s, an industry’s profit potential is largely determined by _____________.","The intensity of competitive forces within the industry","Availability of necessary resources to produce the product/service","Technological proficiency of companies in the industry","Availability of skilled and unskilled labor","The intensity of competitive forces within the industry"
"According to the Five Forces Model developed by Harvard University Business professor Michael Porter, all of the following are major factors that determine a company’s standing in an industry, except:","Threat of entry of new competitors","Political and/or economic factors","Bargaining power of suppliers","Threat of substitute products/services","Political and/or economic factors"
"According to the Five Forces Model developed by Harvard University Business professor Michael Porter, all of the following are major factors that determine a company’s standing in an industry, except:","Competitive rivalry among firms existing in the industry","Bargaining power of suppliers","Bargaining power of customers or buyers","Technological (IT) superiority","Technological (IT) superiority"
"Harvard University Business professor Michael Porter proposed that companies could follow one of three different competitive strategies. Which of the following is not one of Porter’s recommended strategies?","Low price strategy","Cost leadership strategy","Differentiation strategy","Niche strategies","Low price strategy"
"Primary activities are those business activities through which a company produces goods, thus creating value for which customers are willing to pay. They include all of the following except:","Inbound logistics, or acquiring and receiving of raw materials and other inputs","Human Resources, including hiring, compensation and negotiating labor disputes","Outbound logistics, which includes packaging, storage, delivery, and distribution","Marketing and sales to customers","Human Resources, including hiring, compensation and negotiating labor disputes"
"Which of the following statements about the balanced scorecard (BSC) is false?","BSC is a strategic measurement and management methodology—and a tool.","The BSC method relies on four “balanced” financial measures.","The BSC methodology is widely used in all industry sectors for strategic planning.","HBR editors consider the BSC as one of the most influential management ideas of the past 75 years.","The BSC method relies on four “balanced” financial measures."
"The BSC method balances financial measures with _____________.","Three forward-looking, nonfinancial measures.","Four quantitative measures.","Three qualitative metrics","Trend analysis","Three forward-looking, nonfinancial measures."
"Balanced Scorecard (BSC) uses various metrics to measure performance, which consist of _______ financial metric(s) and ________ nonfinancial metric(s).","3; 1","2; 2","1; 3","2; 3","1; 3"
"Prior to the BSC concept, the typical performance metrics included all of the following except ___________.","Balance sheets","Cash flow statements","Leading indicators","P&L (profit and loss) reports","Leading indicators"
"________ indicators confirm what has happened. They evaluate outcomes and achievements.","Lagging","Leading","Predictive","Proscriptive","Lagging"
"The Balanced Scorecard (BSC) uses ________ indicators.","Lagging only","Leading only","Both lagging and leading","Both Proscriptive and lagging","Both lagging and leading"
"The Balanced Scorecard can be used to translate strategic plans and mission statements into a set of objectives and performance metrics that ____________.","Are subjective and objective","Can be quantiﬁed and measured.","Are financial and reported to the SEC.","Focus on cash flows and market share.","Can be quantiﬁed and measured."
"Examples of the Balanced Scorecard’s financial measurement criteria are ___________.","Asset utilization and cash flow","Brand image and reputation","Cycle times and defect rates","Employee morale and IT capabilities","Asset utilization and cash flow"
"Examples of the Balanced Scorecard’s customer measurement criteria are ___________.","Asset utilization and cash flow","Brand image and reputation","Cycle times and defect rates","Employee morale and IT capabilities","Brand image and reputation"
"Examples of the Balanced Scorecard’s business processes measurement criteria are ___________.","Asset utilization and cash flow","Brand image and reputation","Cycle times and defect rates","Employee morale and IT capabilities","Cycle times and defect rates"
"Examples of the Balanced Scorecard’s innovation, learning, and growth measurement criteria are ___________.","Asset utilization and cash flow","Brand image and reputation","Cycle times and defect rates","Employee morale and IT capabilities","Employee morale and IT capabilities"
"________ converts senior management’s priorities into visible, actionable objectives by identifying ways to measure progress against agreed-upon targets.","Asset utilization","Balanced Scorecard","Financial governance","Strategic planning","Balanced Scorecard"
"When legacy systems could no longer provide the functionality needed to solve the business, companies migrated to ____________ to connect core systems and apps.","the cloud or SaaS","data centers","database management systems","offshoring","the cloud or SaaS"
"The term _____________ refers to a cloud service.","Access point","Node","XaaS","Edge service","Edge service"
"Cloud computing, SaaS, PaaS, and other types of “as services” are examples of ___________.","IT outsourcing strategies","On premises systems","Capital investments","Business growth","IT outsourcing strategies"
"Which of the following characteristics of cloud strategy and services is false?","Cloud computing is a way for companies to procure technology as a service.","IT resources no longer depend on capital investments and IT developers to own that resource.","IT capabilities can be sourced, scaled on, and delivered on demand without physical location, labor, or capital restrictions.","Cloud is being adopted across more of the enterprise as full replacements for on-premises systems.","Cloud is being adopted across more of the enterprise as full replacements for on-premises systems."
"Cloud services have to integrate back to ________.","APIs","ISVs","core internal systems","social platforms","core internal systems"
"Hybrid solutions consisting of cloud and on-premises systems create ____________challenges.","financial","mobile","integration","social","integration"
"The __________ is a group of managers and staff representing various organizational units that is set up to establish IT priorities and to ensure that the IS department is meeting the needs of the enterprise.","Steering committee","Board of directors","Executive suite","Audit team","Steering committee"
"________ is the ability to get data into and out of the cloud service.","Edge","Extensibility","Migration","Sourcing","Extensibility"
"Which type of work is not readily offshored?","Work that has been routinized","Business activities that rely on common knowledge","Situations that would expose the company to data security or privacy risks","Office work","Situations that would expose the company to data security or privacy risks"
"Enterprises choose outsourcing for several reasons. Which of the following is not one of the reasons?","To increase efficiency","To focus on core competency","Offshoring has become a more accepted IT strategy","To move IT investment from a recurring operational expense to a capital expenditure","To move IT investment from a recurring operational expense to a capital expenditure"
"Outsourcing can be done __________.","Domestically or offshore only","Via cloud computing or SaaS only","Via business processing","Domestically, offshore, via cloud computing, or SaaS","Domestically, offshore, via cloud computing, or SaaS"
"The major reasons why organizations are increasingly outsourcing include each of the following except:","To focus on core competency","It’s a faster way to gain or enhance IT capabilities","To support supply chain transactions","Cloud computing and SaaS have proven to be effective IT strategies","To support supply chain transactions"
"Which of the following statements about outsourcing is false?","Increasingly, organizations are leveraging existing global cloud infrastructures from companies such as Amazon and Google.","Established companies are less willing to outsource company-critical functions in an effort to reduce costs.","New start-up companies typically outsource and rely on SaaS to avoid upfront IT costs.","Outsourcing companies have started to offer interesting new business models and services around cloud computing.","Established companies are less willing to outsource company-critical functions in an effort to reduce costs."
"Which is not one of the risks associated with outsourcing?","Flexibility","Shirking","Poaching","Opportunistic repricing","Flexibility"
"When selecting a vendor, two criteria to assess first are _____________.","Experience and stability","Cost and delivery time","Location and product mix","Reputation and trial run","Experience and stability"
"Before entering into any service contract with an IT vendor, get __________.","A demo or trial run","Everything in writing","The hardware installed","References","Everything in writing"
"__________ occurs when a client enters into a long-term contract with a vendor, the vendor changes financial terms at some point or overcharges for unanticipated enhancements and contract extensions.","Flexibility","Shirking","Poaching","Opportunistic repricing","Opportunistic repricing"
"__________ occurs when the vendor develops a strategic application for a client and then uses it for other clients.","Flexibility","Shirking","Poaching","Opportunistic repricing","Poaching"
"__________ occurs when the vendor deliberately underperforms while claiming full payment, for example, billing for more hours than were worked and/or providing excellent staff at first and later replacing them with less qualified ones.","Flexibility","Shirking","Poaching","Opportunistic repricing","Shirking"
"Based on case studies, which type of work is not readily offshored?","Work that would give result in the company keeping too much control over its critical operations.","Work that has been routinized.","Work that puts the company at great data security, data privacy, or intellectual property risks.","Business activities that rely on common combinations of domain and IT knowledge in order to do the work properly","Work that puts the company at great data security, data privacy, or intellectual property risks."
"Failed IT vendor relationships usually ___________.","Are followed by lawsuits","Start with experienced vendors","Are the result of poaching","Are the result of opportunistic repricing","Are followed by lawsuits"
"Which of the following is not one of the five steps to Technology Scanning for an organization?","Technology Mapping","Technology Implementation","Customer Requirements Analysis","Systems Modeling","Technology Implementation"
"An expanded set of endpoints used to access applications, gather information or interact with people, social communities, government and businesses to ensure instant connection and response to build experience is a(n) ____________.","Digital mesh","Digital Technology Platform","Edge service","Intelligent app","Digital mesh"
"What would be connected using a digital mesh?","Distributed application servers","Social Network Services","Smart devices and wearables","Digital Technology platforms","Smart devices and wearables"
"Which of the following is considered an external performance benchmark for a product's performance in the market?","net profits","return on sales","sales revenues","assets as a percentage of sales","relative product quality"
"Which of the following is true of the financial metrics used to gauge a product's performance in the market?","They report important ratios for profits, costs, and assets.","They include measures of marketing performance, such as customer satisfaction, retention, and loyalty.","They allow a company to estimate its market share and customer value.","They are mainly external metrics of a product's performance in a particular market.","They report important ratios for profits, costs, and assets."
"Which of the following is considered to be a marketing performance metric rather than a financial performance metric for a company?","customer retention","earnings per share","sales-to-assets ratio","gross profit","customer retention"
"Which of the following would be considered a competitiveness metric for a company?","marketing return on sales","capacity utilization","marketing return on investment","gross profit","relative service quality"
"________ index a business or product against another similar business or product with respect to product performance, service quality, and brand image.","Competitiveness metrics","Internal performance metrics","Customer metrics","Market share metrics","Competitiveness metrics"
"Chloe is examining her company's marketing performance metrics. Which of the following would be on the list?","customer value","capacity utilization","operating expenses","return on assets","customer value"
"Jack is examining his company's financial performance measures. Which of the following would be on the list?","relative service quality","customer satisfaction","market ROI","net marketing contribution","return on sales"
"Which of the following is an external metric for a company?","inventory turnover","revenue per customer","net profit before tax","return on assets","revenue per customer"
"Which of the following metrics does a company apply during an operating period rather than at the end of the operating period?","customer retention","market share","sales revenues","inventory turnover","inventory turnover"
"Which of the following is an internal financial metric?","customer awareness","revenue per customer","product defects","market share","product defects"
"Which of the following metrics would a company most likely evaluate at the end of an operating period?","late deliveries","market share","inventory turnover","customer satisfaction","market share"
"Which of the following is an internal forward-looking metric for a company?","late payments","net profit before tax","percent gross profit","return on assets","late payments"
"Which of the following is an external backward-looking metric for a company?","customer awareness","intent to repurchase","perceived performance","customer retention","customer retention"
"Which of the following is true of backward-looking metrics?","They include company metrics such as late deliveries and late payments.","They provide insights on future performance.","They include marketing metrics such as customer awareness and customer satisfaction.","They tell a company where it stands with respect to current performance.","They tell a company where it stands with respect to current performance."
"When considering marketing metrics for a company, market share is most likely to be ________.","an internal metric that can be used either during or after the reporting period","an internal metric that is used after the reporting period","an internal forward-looking metric","an external backward-looking metric","an external backward-looking metric"
"Which of the following marketing metrics is an internal forward-looking metric for a firm?","revenue per customer","market share","customer retention","inventory turnover","inventory turnover"
"The primary purpose of company metrics is ________.","to minimize the defects in the organization's products","to maximize the organization's return on assets","to achieve maximum customer satisfaction","to make optimal use of the organization's resources","to maintain an ongoing measure of marketing performance"
"Expenses that change on a per-unit basis when production volume increases or decreases are known as ________.","variable costs","indirect costs","marketing and sales expenses","operating costs","variable costs"
"Which of the following types of costs is an allocated cost based on the use of the plant, equipment, and other fixed expenses needed to run the production operation?","corporate overhead costs","manufacturing overhead costs","variable costs","marketing sales and expenses","manufacturing overhead costs"
"Which of the following expenses would be included under the manufacturing overhead of a firm?","income taxes","fixed expenses for a building's facilities","cost of materials for production","cost of office supplies","fixed expenses for a building's facilities"
"The formula used to calculate the operating income is ________.","operating income = cost of goods + SGA expenses + other operating expenses","operating income = sales revenues + cost of goods","operating income = sales revenues + cost of goods + SGA expenses + other operating expenses","operating income = sales revenues - SGA expanses","operating income = sales revenues - cost of goods - SGA expenses - other operating expenses"
"The net marketing contribution for a firm is the firm's ________.","gross profit - (marketing and sales expenses)","profits - (other operating expenses)","profits","(all revenues) - (all expenses)","gross profit - (marketing and sales expenses)"
"Which of the following is true of the net marketing contribution of a firm?","It is an internal in-process financial metric.","It sets a benchmark to gauge improving or deteriorating marketing profitability.","It is equal to the revenues of the firm.","It includes all operating expenses.","It sets a benchmark to gauge improving or deteriorating marketing profitability."
"Marketing return on sales equals ________.","net marketing contribution/sales x 100%","profits/sales revenues x 100%","gross margin/sales revenues x 100%","net marketing contribution/marketing sales & expenses x 100%","net marketing contribution/sales x 100%"
"Marketing return on investment equals ________.","profits/marketing & sales expenses x 100%","net marketing contribution/operating expenses x 100%","net marketing contribution/marketing & sales expenses x 100%","gross margin/total expenses x 100%","net marketing contribution/marketing & sales expenses x 100%"
"The product of market demand, market share, average selling price, and channel discounts is the ________.","marketing return on investment","net sales","net marketing contribution","marketing and sales expenses","net sales"
